"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"year[66,12]",-0.335534248328095,0.838373199287149,-2.00141767752473,-0.898571302792399,-0.327548348433485,0.233704883234497,1.28295413938997,1.00008625672241,26097,1,0.6539
"year[67,12]",0.040765722021842,0.787493077050617,-1.51688649385568,-0.48931328706342,0.047292910311753,0.575192704659062,1.57204820545119,1.00022783783824,9412,1,0.523875
"year[68,12]",-0.346689658212355,0.507826046241614,-1.34078571115038,-0.691500352137059,-0.345175004529308,-0.00782007529119516,0.656366368366695,1.00003538915601,36014,1,0.7553
"year[69,12]",-0.112459057468035,0.821718669956903,-1.75014394210789,-0.655998781718474,-0.105509050126717,0.445144401417891,1.47335514359296,1.00015355012893,40000,1,0.55065
"year[70,12]",-0.946940319035843,0.714114712237198,-2.36168283830783,-1.42622315861454,-0.941283929753204,-0.456944392832686,0.428765470798137,1.00019991856209,17345,1,0.90945
"year[71,12]",-0.360385706500724,0.784212630119877,-1.87948708644328,-0.896226209864615,-0.365427300273421,0.162737627758424,1.19451846340592,1.00009074043625,19953,1,0.680375
"year[72,12]",-0.143954543913653,0.793408720438409,-1.70203580776456,-0.680055039221959,-0.135512002283085,0.388073146862671,1.3954645424214,1.00013645895061,18427,1,0.569375
"year[73,12]",-0.250014953550485,0.825708408206995,-1.89080483022683,-0.801478912434709,-0.240044054073185,0.30786910378523,1.33978189883555,1.00009870391333,18172,1,0.615675
"year[74,12]",-0.0519848856051041,0.791446193278814,-1.61617279826486,-0.585675382196439,-0.0488743599989212,0.487630021487542,1.47749512274085,1.00009976720036,19949,1,0.52475
"year[75,12]",-0.156779272590102,0.775096010709246,-1.69131822965524,-0.67317159050124,-0.151809043457122,0.374832757845416,1.33342820449059,1.00015163448262,29276,1,0.57675
"year[76,12]",0.305806438604193,0.561607071853142,-0.815202464147913,-0.0697221775384802,0.311530323557036,0.689404004615865,1.38693333111882,0.999983000775053,40000,1,0.7103
"year[77,12]",-0.160062980392703,0.8188048750338,-1.79498313274066,-0.702977720727398,-0.15271776579553,0.394967019430007,1.43008933872045,1.00006250290813,26787,1,0.575925
"year[78,12]",-0.0983768650550502,0.818695965312737,-1.72558914142937,-0.647016544703784,-0.0871716981858035,0.458195662699432,1.49120067881097,1.00038937196245,6190,1,0.54315
"year[79,12]",-0.115833687746494,0.822207584612555,-1.72172301294567,-0.666797670224655,-0.117744596863034,0.433232148736727,1.50530118456188,1.00168897633328,1544,1,0.5553
"year[80,12]",-0.417466397394143,0.833601941959387,-2.04407894738312,-0.978204707776605,-0.41621896292423,0.144544987756885,1.21032336226898,1.000128936652,40000,1,0.69325
"year[81,12]",-0.398388628140848,0.668827027296936,-1.74978315846127,-0.842546442710508,-0.390301719910142,0.0572387804331084,0.893543595708369,1.0000611242845,37485,1,0.72235
"year[82,12]",-0.490784329645511,0.692592169655203,-1.82597079628511,-0.960439640770587,-0.499807269614083,-0.0286511160693884,0.884146241843562,1.00008303728006,40000,1,0.76295
"year[83,12]",-0.468229459630069,0.792396937567524,-2.04242920382981,-1.00134760367814,-0.462929511522721,0.0741864607989278,1.05495927698815,1.00014295797612,13850,1,0.719875
"year[84,12]",0.278977913143402,0.825686573426633,-1.34114592428742,-0.279142680376944,0.280582728797171,0.839977308270406,1.8840249539762,1.00017015080635,12880,1,0.63235
"year[85,12]",0.266530784003643,0.765064759616059,-1.25988053509146,-0.237041653430699,0.274252623138235,0.786356384498653,1.7437387161959,1.00027585338742,11045,1,0.640475
"year[86,12]",-0.653772121626995,0.467740530379764,-1.55428557941819,-0.97265088873426,-0.658762829777657,-0.341971049556325,0.284116058756756,1.00003677191256,40000,1,0.917325
"year[87,12]",-0.329121984574973,0.799593084360945,-1.91029707396583,-0.864228106023883,-0.319828931446761,0.216260178431853,1.19656957635818,1.00012474542521,14625,1,0.655675
"year[88,12]",-0.326290975692214,0.737888705494879,-1.81843482404026,-0.815472217752771,-0.311841879498888,0.177928723942645,1.08049923335286,1.00023258836509,13912,1,0.663275
"year[89,12]",-0.207757812088387,0.813458952348829,-1.81687081800084,-0.747328401078347,-0.203200308903468,0.334974724225988,1.38561640088715,1.00049880563254,5762,1,0.59995
